cyclist_id,pcs_link,strava_link,strava_id,full_name,alon's_url,fetched_from_pcs,alon's_strava_id
157,https://www.procyclingstats.com/rider/alessandro-de-marchi,https://www.strava.com/pros/9545283,9545283.0,DE MARCHI Alessandro,https://www.strava.com/pros/9545283,1.0,9545283.0
190,https://www.procyclingstats.com/rider/alex-dowsett,https://www.strava.com/pros/505408,505408.0,DOWSETT Alex,https://www.strava.com/pros/505408,1.0,505408.0
203,https://www.procyclingstats.com/rider/alexander-cataford,https://www.strava.com/athletes/3490359,3490359.0,CATAFORD Alexander,https://www.strava.com/athletes/3490359,1.0,3490359.0
261,https://www.procyclingstats.com/rider/alexis-renard,https://www.strava.com/pros/5915515,5915515.0,RENARD Alexis,https://www.strava.com/pros/5915515,1.0,5915515.0
329,https://www.procyclingstats.com/rider/andre-greipel,https://www.strava.com/pros/384548,384548.0,GREIPEL André,https://www.strava.com/pros/384548,1.0,384548.0
613,https://www.procyclingstats.com/rider/august-jensen,https://www.strava.com/athletes/18311935,18311935.0,JENSEN August,https://www.strava.com/athletes/18311935,1.0,18311935.0
653,https://www.procyclingstats.com/rider/ben-hermans,https://www.strava.com/athletes/593390,593390.0,HERMANS Ben,https://www.strava.com/athletes/593390,1.0,593390.0
852,https://www.procyclingstats.com/rider/carl-fredrik-hagen,https://www.strava.com/pros/134614,134614.0,HAGEN Carl Fredrik,https://www.strava.com/pros/134614,1.0,134614.0
1054,https://www.procyclingstats.com/rider/christopher-froome,https://www.strava.com/pros/7491815,7491815.0,FROOME Chris,https://www.strava.com/pros/7491815,1.0,7491815.0
1093,https://www.procyclingstats.com/rider/clement-carisey,https://www.strava.com/athletes/1577875,1577875.0,CARISEY Clément,https://www.strava.com/athletes/1577875,1.0,1577875.0
1113,https://www.procyclingstats.com/rider/conor-dunne,https://www.strava.com/athletes/759393,759393.0,DUNNE Conor,https://www.strava.com/athletes/759393,1.0,759393.0
1116,https://www.procyclingstats.com/rider/corbin-strong,https://www.strava.com/athletes/3419730,3419730.0,STRONG Corbin,,1.0,
1304,https://www.procyclingstats.com/rider/daryl-impey,https://www.strava.com/pros/1714205,1714205.0,IMPEY Daryl,https://www.strava.com/pros/1714205,1.0,1714205.0
1403,https://www.procyclingstats.com/rider/davide-cimolai,https://www.strava.com/pros/20904837,20904837.0,CIMOLAI Davide,https://www.strava.com/pros/20904837,1.0,20904837.0
1649,https://www.procyclingstats.com/rider/edwin-avila,https://www.strava.com/athletes/6094073,6094073.0,ÁVILA Edwin,https://www.strava.com/athletes/6094073,1.0,6094073.0
2434,https://www.procyclingstats.com/rider/guillaume-boivin,https://www.strava.com/athletes/616061,616061.0,BOIVIN Guillaume,https://www.strava.com/athletes/616061,1.0,616061.0
2457,https://www.procyclingstats.com/rider/guy-niv,https://www.strava.com/athletes/4748635,4748635.0,NIV Guy,https://www.strava.com/athletes/4748635,1.0,4748635.0
2580,https://www.procyclingstats.com/rider/hugo-hofstetter,https://www.strava.com/athletes/10847439,10847439.0,HOFSTETTER Hugo,https://www.strava.com/athletes/10847439,1.0,10847439.0
2581,https://www.procyclingstats.com/rider/hugo-houle,https://www.strava.com/pros/288769,288769.0,HOULE Hugo,,1.0,
2759,https://www.procyclingstats.com/rider/james-piccoli,https://www.strava.com/pros/1703812,1703812.0,PICCOLI James,https://www.strava.com/pros/1703812,1.0,1703812.0
2947,https://www.procyclingstats.com/rider/jenthe-biermans,https://www.strava.com/athletes/2305481,2305481.0,BIERMANS Jenthe,https://www.strava.com/athletes/2305481,1.0,2305481.0
3328,https://www.procyclingstats.com/rider/jose-manuel-diaz-gallego,https://www.strava.com/athletes/3407398,3407398.0,DÍAZ José Manuel,https://www.strava.com/athletes/3407398,1.0,3407398.0
3656,https://www.procyclingstats.com/rider/kristian-sbaragli,https://www.strava.com/athletes/2006007,2006007.0,SBARAGLI Kristian,https://www.strava.com/athletes/2006007,1.0,2006007.0
3982,https://www.procyclingstats.com/rider/mads-wurtz-schmidt,https://www.strava.com/athletes/2109406,2109406.0,WÜRTZ SCHMIDT Mads,https://www.strava.com/athletes/2109406,1.0,2109406.0
4372,https://www.procyclingstats.com/rider/matteo-badilatti,https://www.strava.com/athletes/4419459,4419459.0,BADILATTI Matteo,https://www.strava.com/athletes/4419459,1.0,4419459.0
4407,https://www.procyclingstats.com/rider/matthias-brandle,https://www.strava.com/pros/266080,266080.0,BRÄNDLE Matthias,https://www.strava.com/pros/266080,1.0,266080.0
4533,https://www.procyclingstats.com/rider/michael-woods,https://www.strava.com/pros/425147,425147.0,WOODS Michael,https://www.strava.com/pros/425147,1.0,425147.0
4605,https://www.procyclingstats.com/rider/mihkel-raim,https://www.strava.com/pros/2469093,2469093.0,RÄIM Mihkel,https://www.strava.com/pros/2469093,1.0,2469093.0
4804,https://www.procyclingstats.com/rider/nils-politt,https://www.strava.com/pros/2592883,2592883.0,POLITT Nils,https://www.strava.com/pros/2592883,1.0,2592883.0
4865,https://www.procyclingstats.com/rider/omer-goldstein,https://www.strava.com/athletes/36281396,36281396.0,GOLDSTEIN Omer,https://www.strava.com/athletes/36281396,1.0,36281396.0
