cyclist_id,pcs_link,strava_link,strava_id
12590,https://www.procyclingstats.com/rider/jeremy-bellicaud,https://www.strava.com/athletes/7652767,7652767.0
12592,https://www.procyclingstats.com/rider/maxime-jarnet,https://www.strava.com/athletes/27595856,27595856.0
12593,https://www.procyclingstats.com/rider/alfdan-de-decker,https://www.strava.com/athletes/2956675,2956675.0
12594,https://www.procyclingstats.com/rider/bart-de-clercq,https://www.strava.com/pros/808429,808429.0
12596,https://www.procyclingstats.com/rider/trond-trondsen,https://www.strava.com/athletes/14966401,14966401.0
12597,https://www.procyclingstats.com/rider/jasper-de-laat,https://www.strava.com/athletes/5887858,5887858.0
12607,https://www.procyclingstats.com/rider/jaco-venter,https://www.strava.com/pros/3302796,3302796.0
12609,https://www.procyclingstats.com/rider/david-casanovas,https://www.strava.com/athletes/16192358,16192358.0
12611,https://www.procyclingstats.com/rider/adrien-guillonnet,https://www.strava.com/athletes/5537142,5537142.0
12612,https://www.procyclingstats.com/rider/kyohei-mizuno,https://www.strava.com/athletes/3459281,3459281.0
12614,https://www.procyclingstats.com/rider/samuel-ponce-alvarez,https://www.strava.com/athletes/9925446,9925446.0
12616,https://www.procyclingstats.com/rider/ken-levi-eikeland,https://www.strava.com/athletes/982321,982321.0
12624,https://www.procyclingstats.com/rider/julien-amadori,https://www.strava.com/athletes/1440061,1440061.0
12625,https://www.procyclingstats.com/rider/tom-bossis,https://www.strava.com/athletes/1423725,1423725.0
12640,https://www.procyclingstats.com/rider/illya-klepikov,https://www.strava.com/athletes/7578490,7578490.0
12647,https://www.procyclingstats.com/rider/mykyta-zubenko,https://www.strava.com/pros/4899033,4899033.0
12652,https://www.procyclingstats.com/rider/maksym-vasilyev,https://www.strava.com/athletes/13375757,13375757.0
12682,https://www.procyclingstats.com/rider/yaroslav-parashchak,https://www.strava.com/athletes/82624435,82624435.0
12690,https://www.procyclingstats.com/rider/mattia-baldo,https://www.strava.com/athletes/5495492,5495492.0
12692,https://www.procyclingstats.com/rider/pasquale-lamanna,https://www.strava.com/athletes/22157576,22157576.0
12749,https://www.procyclingstats.com/rider/andreas-miltiadis,https://www.strava.com/athletes/218097,218097.0
12756,https://www.procyclingstats.com/rider/jose-gutierrez-revuelta,https://www.strava.com/pros/4106343,4106343.0
12757,https://www.procyclingstats.com/rider/fernando-lopes,https://www.strava.com/athletes/11301116,11301116.0
12843,https://www.procyclingstats.com/rider/oleksiy-kasyanov,https://www.strava.com/athletes/15466114,15466114.0
12876,https://www.procyclingstats.com/rider/graham-briggs,https://www.strava.com/pros/2032644,2032644.0
12881,https://www.procyclingstats.com/rider/thomas-stewart,https://www.strava.com/pros/2262698,2262698.0
12883,https://www.procyclingstats.com/rider/steven-lampier,https://www.strava.com/pros/222024,222024.0
12886,https://www.procyclingstats.com/rider/jacob-hennessy,https://www.strava.com/athletes/2454485,2454485.0
12889,https://www.procyclingstats.com/rider/felix-english,https://www.strava.com/pros/186606,186606.0
12892,https://www.procyclingstats.com/rider/elliott-porter,https://www.strava.com/athletes/515532,515532.0
12903,https://www.procyclingstats.com/rider/simon-richardson,https://www.strava.com/athletes/269248,269248.0
12914,https://www.procyclingstats.com/rider/daniel-arnes,https://www.strava.com/athletes/7999907,7999907.0
12915,https://www.procyclingstats.com/rider/herman-dahl,https://www.strava.com/athletes/1231360,1231360.0
12916,https://www.procyclingstats.com/rider/ludvik-holstad,https://www.strava.com/athletes/1243195,1243195.0
